nombre_comuna;nombre_barrio;zona;sitio_atencion;direccion_sitio_atencion;disciplina_y_o_actividad;Lunes;Martes;Miercoles;Jueves;Viernes;sabado;Domingo;hora_inicio;hora_fin;corregimiento;vereda;nivel deportivo;programa;MONITOR;nombre grupo
18;Sector Alto Jordán;Urbana;CIDES Parque los Pinos;Calle 4 oeste Bajo Jordan;PARKOUR;;Martes;Miercoles;;;;;4:30.pm-4:30.pm;6:00.pm-6:00.pm;;;No aplica;Vertigo;KATERINE VALENCIA;VT- PARKOUR-C19-KATERINE VALENCIA-G02
18;Sector Alto Jordán;Urbana;Biblioteca Pública Centro Cultural  - ALTO JORDAN  Comuna 18;C1A Oe. # 93-24;PARKOUR;Lunes;;Miercoles;;;;;4:00.pm-4:00.pm;5:30.pm-5:30.pm;;;No aplica;Vertigo;JULIAN ERAZO;VT-PARKOUR-C18-JULIAN ERAZO-G03
19;Pampa Linda;Urbana;PARQUE RECREATIVO NIZA;cra 62C # 9D-00;FUNCIONAL;;Martes;;Jueves;;;;8:30.am-8:30.am;12:30.pm-12:30.pm;;;No aplica;ActivaMente;MARIA ECHEVERRY;ACT -C-17-ANGELICA.E-G5-NIZA PM
19;San Fernando Nuevo;Urbana;PARQUE LAS PIEDRAS;C 5B 4 # 37A  - 00;FUNCIONAL;;;Miercoles;Jueves;;;;8:30.am-8:30.am;9:30.am-9:30.am;;;No aplica;ActivaMente;MARIA ECHEVERRY;ACT -C-19-ANGELICA.E-G1-FUNDADORAS DE SAN FERNANDO
19;3 de Julio;Urbana;PARQUE 3 DE JULIO;K 29 CON C 5B 1;FUNCIONAL;Lunes;;;;Viernes;;;8:15.am-8:15.am;9:15.am-9:15.am;;;No aplica;ActivaMente;MARIA ECHEVERRY;ACT -C-19-ANGELICA.E-G2-SAN FERNANDO REY
19;Camino Real   J. Borrero S.;Urbana;PARQUE IGLESIA INMACULADO CORAZÓN DE MARÍA;Cra. 55a #6A-07;FUNCIONAL;;Martes;;;Viernes;;;7:00.am-7:00.am;8:00.am-8:00.am;;;No aplica;ActivaMente;MARIA ECHEVERRY;ACT -C-19-ANGELICA.E-G4-CAMINO REAL
19;La Cascada;Urbana;CANCHA MÚLTIPLE LA CASCADA;Calle 2a con Carrera 63;FUNCIONAL;;;Miercoles;;;;;7:00.am;8:00.am;;;No aplica;ActivaMente;DIANA PATIÑO;ACT -C-19-DIANA-P-G6-AMOR Y ALEGRIA
19;El Refugio;Urbana;Parque Del Refugio cancha múltiple;Carrera 64 entre Calle 3C y 4D;FUNCIONAL;;Martes;;Jueves;;;;8:15.am-8:15.am;9:15.am-9:15.am;;;No aplica;ActivaMente;JULIAN FLOYD;ACT -C-19-JULIAN.F-G1-REFUGIO DE AMOR
19;Santa Isabel;Urbana;Parque Santa Isabel;C3 # K38C - 00;FUNCIONAL;;;Miercoles;;Viernes;;;8:15.am-8:15.am;9:15.am-9:15.am;;;No aplica;ActivaMente;JULIAN FLOYD;ACT -C-19-JULIAN.F-G2-LOS ALMENDROS
19;Bellavista;Urbana;Cancha Multiple Bellavista;C 14 OESTE CON K 3;FUNCIONAL;Lunes;;;Jueves;;;;7:00.am-7:00.am;8:00.am-8:00.am;;;No aplica;ActivaMente;JULIAN FLOYD;ACT -C-19-JULIAN.F-G3-BELLAVISTA 1
19;Bellavista;Urbana;Cancha Multiple Bellavista;C 14 OESTE CON K 3;FUNCIONAL;Lunes;;;;;;;8:00.am;9:00.am;;;No aplica;ActivaMente;JULIAN FLOYD;ACT -C-19-JULIAN.F-G3-BELLAVISTA 2
19;El Lido;Urbana;kiosko Unidad residencial antonio nariño;C 5 # 43-70;FUNCIONAL;;;Miercoles;;Viernes;;;7:00.am-7:00.am;8:00.am-8:00.am;;;No aplica;ActivaMente;JULIAN FLOYD;ACT -C-19-JULIAN.F-G5-REJUVENECER
19;Cuarto de Legua   Guadalupe;Urbana;KIOSKO CARACOLIES;Calle 2 con carrera 59;FUNCIONAL;;Martes;;Jueves;;;;9:15.am-9:15.am;10:15.am-10:15.am;;;No aplica;ActivaMente;JULIAN FLOYD;ACT -C-19-JULIAN.F-G7-CARACOLÍES
19;Cuarto de Legua   Guadalupe;Urbana;PARQUE RECREATIVO CUARTO DE LEGUA;Calle 2 #59-00;FUNCIONAL;;Martes;;;;;;7:00.am;8:00.am;;;No aplica;ActivaMente;PAULO PLAZA;ACT-C-1-PAULO.PLAZA-G01-AÑOS DORADOS
19;Champagnat;Urbana;Parque Sindicato USE Emcali-Champagnat;calle 9cbis # 28 46;FUNCIONAL;Lunes;;;;Viernes;;;7:10.am-7:10.am;8:10.am-8:10.am;;;No aplica;ActivaMente;MAURICIO GORDILLO;ACT-C-10-MAURICIO G-G02- GRUPO-LOS GUABALES
19;Nueva Tequendama;Urbana;Club Tequendama;CRA 53 # 7 - 111;FUNCIONAL;;Martes;;;;;;8:30.am;9:30.am;;;No aplica;ActivaMente;ALEXANDER MURILLO;ACT-C-19-ALEXANDER.M-G1-VIDA NUEVA
19;Los Cambulos;Urbana;Parque Recreativo Cambulos;CRA 42A # 9C - 00;FUNCIONAL;Lunes;;Miercoles;;Viernes;;;7:30.am-7:30.am-7:30.am;8:30.am-8:30.am-8:30.am;;;No aplica;ActivaMente;ANGIE OROZCO;ACT-C-19-ANGIE.O-G1-ADULTO SALUDABLE
19;Barrio Eucarístico;Urbana;Escuela Nacional del Deporte;C 9 # 34 - 01;FUNCIONAL;;Martes;;Jueves;;;;7:00.am-8:15.am;8:00.am-9:15.am;;;No aplica;ActivaMente;ANGIE OROZCO;ACT-C-19-ANGIE.O-G2-RENACER
19;Pampa Linda;Urbana;PARQUE EL BUHO;Calle 1c con Carrera 60;FUNCIONAL;;Martes;;Jueves;;;;6:00.pm-6:00.pm;7:00.pm-7:00.pm;;;No aplica;ActivaMente;ANGIE OROZCO;ACT-C-19-ANGIE.O-G3-VIVIR CON ALEGRIA
19;La Cascada;Urbana;Cancha La Cascada;Calle 2a y 2b, Carrera 62 y 63;FUNCIONAL;;Martes;;;;;;7:00.am;8:00.am;;;No aplica;ActivaMente;ANGIE OROZCO;ACT-C-19-ANGIE.O-G4-LA CASCADA
19;San Fernando Nuevo;Urbana;UNIDAD RESIDENCIAL SANTIAGO DE CALI;CRA 45 #5A -52;FUNCIONAL;;Martes;;Jueves;;;;7:00.am-7:00.am;8:00.pm-8:00.am;;;No aplica;ActivaMente;TANIA MEJIA;ACT-C-19-TANIA.M-G1-URESA
19;Pampa Linda;Urbana;Cancha múltiple Pampalinda;Calle  2a Carrera 62-00;PRUEBA DE RUMBA;;Martes;;Jueves;;;;7:10.am-7:10.am;8:10.am-8:10.am;;;No aplica;ActivaMente;PAOLA FERNÁNDEZ;GO2 -PAOLA FERNANDEZ-GRUPO PAMPALINDA FITNESS19 -C9-ACT-FUNC
19;Nueva Tequendama;Urbana;Unidad Recreativa Santiago De Cali;CLL5E # 46 - 55;ACUATICA;;Martes;;;;;;11:00.am;1:00.pm;;;No aplica;ActivaMente;LARRY CASTILLO;GO5-LARRY CASTILLO-GRUPO HIDROTERAPIA1 -C19-ACT-FUNC
19;Nueva Tequendama;Urbana;Unidad Recreativa Santiago De Cali;CLL5E # 46 - 55;FUNCIONAL;;;Miercoles;;;;;11:00.am;1:00.pm;;;No aplica;ActivaMente;LARRY CASTILLO;GO6-LARRY CASTILLO-GRUPO HIDROTERAPIA2 -C19-ACT-FUNC
19;Nueva Tequendama;Urbana;Unidad Recreativa Santiago De Cali;CLL5E # 46 - 55;ACUATICA;;;;Jueves;;;;11:00.am;1:00.pm;;;No aplica;ActivaMente;LARRY CASTILLO;GO7-LARRY CASTILLO-GRUPO HIDROTERAPIA3 -C19-ACT-FUNC
19;San Fernando Nuevo;Urbana;instituto Tobías Emanuel;C 5B2 K # 37a-75;ACTIVIDAD FÍSICA Y RECREACIÓN ADAPTADA;Lunes;;Miercoles;;;;;11:30.am-11:30.am;12:30.pm-12:30.pm;;;No aplica;Cali Incluyente;LIBETH ARIAS;CI - ACTIVIDAD FISICA Y RECREACIÓN ADAPTADA - C19 - G01
19;San Fernando Viejo;Urbana;INSTITUTO PARA NIÑOS CIEGOS Y SORDOS;Cra. 38 # 5B 1-39;ACTIVIDAD FÍSICA Y RECREACIÓN ADAPTADA;Lunes;;Miercoles;;;;;1:15.pm-1:15.pm;3:30.pm-3:30.pm;;;No aplica;Cali Incluyente;JANER TAFUR;CI - ACTIVIDAD FISICA Y RECREACIÓN ADAPTADA - C19 - G02
19;El Cedro;Urbana;IGLESIA LA MILAGROSA;avenida Roosevelt #29-71;ACTIVIDAD FÍSICA Y RECREACIÓN ADAPTADA;;;;Jueves;;;;9:00.am;11:00.am;;;No aplica;Cali Incluyente;MANUEL CABRERA;CI - ACTIVIDAD FISICA Y RECREACIÓN ADAPTADA - C19 - G03
19;Urbanización Tequendama;Urbana;Asociacion de Sordos del Valle;Cra 25 # 6-45;ACTIVIDAD FÍSICA Y RECREACIÓN ADAPTADA;;Martes;;;Viernes;;;8:00.am-8:00.am;9:30.am-9:30.am;;;No aplica;Cali Incluyente;LUIS LOPEZ;CI - ACTIVIDAD FISICA Y RECREACIÓN ADAPTADA - C19 - G05
19;San Fernando Viejo;Urbana;Club de Leones ITES;C 3 # 26-51;ACTIVIDAD FÍSICA Y RECREACIÓN ADAPTADA;Lunes;;Miercoles;;;;;10:00.am-10:00.am;11:00.am-11:00.am;;;No aplica;Cali Incluyente;LIBETH ARIAS;CI - ACTIVIDAD FISICA Y RECREACIÓN ADAPTADA - C19 - G06
19;Barrio Eucarístico;Urbana;UNIDAD DEPORTIVA JAIME APARICIO  (Piscinas Hernando Botero O´Byrne);Cll 9 # 37 - 00;PARA NATACIÓN;Lunes;;Miercoles;;;;;2:00.pm-2:00.pm;3:00.pm-3:00.pm;;;No aplica;Cali Incluyente;YELSI CULCHAC;CI - INICIACION PARANATACION - C19 - G01
19;Barrio Eucarístico;Urbana;UNIDAD DEPORTIVA JAIME APARICIO  (Piscinas Hernando Botero O´Byrne);Cll 9 # 37 - 00;PARA NATACIÓN;Lunes;;Miercoles;;;;;3:00.pm-3:00.pm;4:00.pm-4:00.pm;;;No aplica;Cali Incluyente;YELSI CULCHAC;CI - INICIACION PARANATACION - C19 - G02
